ts,symbol,open,high,low,close,quantity
2018-06-28 03:00:00, OKEX--ETH--USDT, 434.3771, 437.0811, 433.5107, 436.5477, 2283.615245
2018-06-28 04:00:00, OKEX--ETH--USDT, 436.5477, 437.136, 433.6133, 434.4186, 2341.742037
2018-06-28 05:00:00, OKEX--ETH--USDT, 434.4647, 435.8528, 433.9728, 435.021, 2021.984084
2018-06-28 06:00:00, OKEX--ETH--USDT, 435.749, 439.54, 434.8217, 437.9914, 1663.902824
2018-06-28 07:00:00, OKEX--ETH--USDT, 438.6905, 444.7443, 438.5637, 441.8501, 2287.366489
2018-06-28 08:00:00, OKEX--ETH--USDT, 441.853, 443.0372, 441.0, 441.4586, 2273.408794
2018-06-28 09:00:00, OKEX--ETH--USDT, 441.464, 441.6649, 437.0, 438.1987, 3026.660633
2018-06-28 10:00:00, OKEX--ETH--USDT, 437.5114, 439.0609, 436.0564, 436.6762, 3041.998478
2018-06-28 11:00:00, OKEX--ETH--USDT, 436.3631, 437.4603, 430.6216, 431.1332, 1702.03042
2018-06-28 12:00:00, OKEX--ETH--USDT, 432.6229, 432.6229, 430.689, 431.8097, 3814.661977
2018-06-28 13:00:00, OKEX--ETH--USDT, 432.0237, 434.707, 431.6523, 434.0476, 2171.196671
2018-06-28 14:00:00, OKEX--ETH--USDT, 434.03, 434.5747, 431.2207, 433.5628, 1977.285819
2018-06-28 15:00:00, OKEX--ETH--USDT, 433.32, 434.979, 431.4735, 434.9085, 2175.790117
2018-06-28 16:00:00, OKEX--ETH--USDT, 435.01, 435.5, 434.472, 435.4788, 770.561326
2018-06-28 17:00:00, OKEX--ETH--USDT, 435.4666, 436.8253, 433.0, 434.1933, 2429.268069
2018-06-28 18:00:00, OKEX--ETH--USDT, 434.1201, 435.0, 431.5808, 432.6854, 2125.809647
2018-06-28 19:00:00, OKEX--ETH--USDT, 432.8324, 436.1256, 432.1062, 435.7285, 3076.763673
2018-06-28 20:00:00, OKEX--ETH--USDT, 435.9063, 439.9397, 434.635, 437.3213, 2758.03336
2018-06-28 21:00:00, OKEX--ETH--USDT, 437.191, 437.5837, 435.0648, 436.8871, 2980.077665
2018-06-30 03:00:00, OKEX--ETH--USDT, 411.169, 411.1696, 408.4676, 410.1656, 1873.723131
2018-06-30 04:00:00, OKEX--ETH--USDT, 410.1146, 413.6295, 409.9284, 413.2257, 2147.477278
2018-06-30 05:00:00, OKEX--ETH--USDT, 413.1155, 415.4694, 413.1155, 415.0631, 1296.692131
2018-06-30 06:00:00, OKEX--ETH--USDT, 415.81, 433.1688, 415.3599, 432.8242, 1843.174877
2018-06-30 07:00:00, OKEX--ETH--USDT, 434.5497, 441.2439, 433.6022, 434.2613, 1603.795781
2018-06-30 08:00:00, OKEX--ETH--USDT, 436.0328, 444.5719, 435.8, 442.0573, 2713.118081
2018-06-30 09:00:00, OKEX--ETH--USDT, 443.9503, 458.8139, 443.5511, 450.5, 1272.480669
2018-06-30 10:00:00, OKEX--ETH--USDT, 450.5396, 456.1359, 446.7175, 448.7809, 1564.331562
2018-06-30 11:00:00, OKEX--ETH--USDT, 448.7609, 450.3586, 446.15, 446.2679, 1241.833675
2018-06-30 12:00:00, OKEX--ETH--USDT, 446.2679, 451.0, 446.2278, 450.78, 2144.630852
2018-06-30 13:00:00, OKEX--ETH--USDT, 450.76, 452.0212, 450.6501, 451.884, 2065.960037
2018-06-30 14:00:00, OKEX--ETH--USDT, 451.4021, 452.0, 450.045, 450.3497, 1989.50955
2018-06-30 15:00:00, OKEX--ETH--USDT, 450.376, 452.2699, 449.5891, 451.4655, 1745.572275
2018-06-30 16:00:00, OKEX--ETH--USDT, 451.4655, 451.5, 449.9513, 451.4, 2138.470238
2018-06-30 17:00:00, OKEX--ETH--USDT, 451.4, 458.1219, 450.3263, 457.3401, 2044.599926
2018-06-30 18:00:00, OKEX--ETH--USDT, 458.0144, 458.4987, 451.1975, 451.5671, 1336.584794
2018-06-30 19:00:00, OKEX--ETH--USDT, 451.4901, 455.7999, 451.4901, 453.3857, 1891.844697
2018-06-30 20:00:00, OKEX--ETH--USDT, 453.311, 457.6034, 452.9989, 454.1649, 1334.862924
2018-06-30 21:00:00, OKEX--ETH--USDT, 453.8901, 455.441, 453.408, 454.3972, 1127.764781
2018-07-01 03:00:00, OKEX--ETH--USDT, 443.6726, 444.4545, 441.95, 444.2438, 2137.212758
2018-07-01 04:00:00, OKEX--ETH--USDT, 443.8453, 447.9343, 443.5011, 447.753, 1569.158063
2018-07-01 05:00:00, OKEX--ETH--USDT, 447.6369, 447.6406, 445.2514, 446.021, 2216.62363
2018-07-01 06:00:00, OKEX--ETH--USDT, 445.6339, 447.8691, 444.2008, 447.5747, 2465.752095
2018-07-01 07:00:00, OKEX--ETH--USDT, 447.4352, 455.0, 447.4352, 454.01, 2259.788241
2018-07-01 08:00:00, OKEX--ETH--USDT, 454.15, 456.7376, 451.2003, 452.3, 1876.021578
2018-07-01 09:00:00, OKEX--ETH--USDT, 452.0462, 452.458, 448.3631, 451.7415, 2057.534191
2018-07-01 10:00:00, OKEX--ETH--USDT, 451.4673, 453.6504, 449.7924, 450.9089, 1000.255797
2018-07-01 11:00:00, OKEX--ETH--USDT, 450.8501, 452.0, 450.3, 450.5897, 2312.39266
2018-07-01 12:00:00, OKEX--ETH--USDT, 450.3986, 451.0797, 449.0831, 451.0796, 2342.724834
2018-07-01 13:00:00, OKEX--ETH--USDT, 450.93, 454.5, 450.7657, 453.9271, 1918.317762
2018-07-01 14:00:00, OKEX--ETH--USDT, 454.845, 455.8, 451.5408, 451.5408, 2249.432612
2018-07-01 15:00:00, OKEX--ETH--USDT, 451.9425, 454.3788, 451.0001, 454.24, 2194.566454
2018-07-01 16:00:00, OKEX--ETH--USDT, 454.3388, 455.9944, 452.4892, 455.6856, 1783.724636
2018-07-01 17:00:00, OKEX--ETH--USDT, 455.3225, 456.748, 453.21, 454.5158, 1502.213659
2018-07-01 18:00:00, OKEX--ETH--USDT, 453.1314, 456.0, 453.1314, 455.9088, 1249.658386
2018-07-01 19:00:00, OKEX--ETH--USDT, 455.0785, 455.48, 453.8334, 453.9425, 1997.269194
2018-07-01 20:00:00, OKEX--ETH--USDT, 454.3417, 454.9226, 450.255, 450.3011, 1717.058684
2018-07-01 21:00:00, OKEX--ETH--USDT, 449.5, 452.26, 448.2262, 449.48, 1202.087459
2018-07-08 02:00:00, OKEX--ETH--USDT, 465.983, 466.7909, 464.9999, 466.6092, 1922.606254
2018-07-08 03:00:00, OKEX--ETH--USDT, 466.25, 466.568, 465.0, 465.9014, 2140.201254
2018-07-08 04:00:00, OKEX--ETH--USDT, 465.9014, 466.0917, 463.6678, 464.4431, 2270.412219
2018-07-08 05:00:00, OKEX--ETH--USDT, 464.4259, 465.2386, 464.1572, 464.5245, 2675.78142
2018-07-08 06:00:00, OKEX--ETH--USDT, 464.7537, 468.8646, 463.9787, 468.647, 2817.817604
2018-07-08 07:00:00, OKEX--ETH--USDT, 468.6332, 487.5925, 467.5893, 486.2373, 3798.745777
2018-07-08 08:00:00, OKEX--ETH--USDT, 487.1135, 491.6889, 484.6436, 486.4741, 2857.404297
2018-07-08 09:00:00, OKEX--ETH--USDT, 486.3741, 487.35, 483.2451, 483.7061, 4857.886281
2018-07-08 10:00:00, OKEX--ETH--USDT, 483.8834, 486.8565, 483.1599, 485.3127, 4719.961388
2018-07-08 11:00:00, OKEX--ETH--USDT, 485.345, 485.3924, 482.43, 482.66, 4037.156251
2018-07-08 12:00:00, OKEX--ETH--USDT, 482.6, 483.9352, 482.0, 483.2677, 3323.480573
2018-07-08 13:00:00, OKEX--ETH--USDT, 483.3399, 485.2, 483.2344, 483.87, 3087.802115
