datetime,open,high,low,close,volume
2017-09-07 00:30:00,638.9,641.2,624.61,626.61,1259.81098742
2017-09-07 01:00:00,626.63,628.7,605.03,610.98,2677.11758397
2017-09-07 01:30:00,610.91,616.0,599.35,611.9,3054.95524141
2017-09-07 02:00:00,611.74,622.0,610.44,621.0,806.53033698
2017-09-07 02:30:00,620.63,632.0,620.63,631.99,491.16658960000007
2017-09-07 03:00:00,632.45,632.6,625.43,627.0,338.52618914
2017-09-07 03:30:00,627.0,629.03,616.4,623.65,328.80130108
2017-09-07 04:00:00,622.93,624.01,618.0,622.32,125.50829645
2017-09-07 04:30:00,621.08,627.79,621.02,627.79,190.8546001
2017-09-07 05:00:00,627.76,632.99,627.76,631.4,100.87342618
2017-09-07 05:30:00,631.4,632.74,630.0,631.61,52.80154365
2017-09-07 06:00:00,629.8,630.39,621.01,629.9,301.60782772
2017-09-07 06:30:00,629.98,629.98,624.68,625.0,239.66527758
2017-09-07 07:00:00,625.4,628.33,618.2,621.98,208.4372633
2017-09-07 07:30:00,621.99,630.0,620.34,630.0,197.45092386
2017-09-07 08:00:00,630.0,657.0,629.33,650.03,3331.85048656
2017-09-07 08:30:00,650.86,686.71,650.5,686.5,4986.18931266
2017-09-07 09:00:00,686.9,694.6,679.08,690.0,3985.90988236
2017-09-07 09:30:00,690.15,697.49,676.01,694.24,2684.49735826
2017-09-07 10:00:00,694.0,694.97,683.59,686.8,1134.78584198
2017-09-07 10:30:00,687.7,706.7,685.0,706.69,4404.63501334
2017-09-07 11:00:00,705.9,719.0,686.01,703.0,4620.07454846
2017-09-07 11:30:00,701.15,702.91,683.0,699.2,2171.54064843
2017-09-07 12:00:00,699.2,705.0,666.3,684.46,4519.70778523
2017-09-07 12:30:00,684.0,684.99,671.0,672.47,1559.41915817
2017-09-07 13:00:00,672.48,686.24,670.0,677.6,1274.97802981
2017-09-07 13:30:00,676.29,678.95,661.3,661.99,1140.4357358
2017-09-07 14:00:00,661.4,670.0,661.4,668.4,691.98688994
2017-09-07 14:30:00,668.29,678.8,666.81,671.33,1515.66609075
2017-09-07 15:00:00,671.28,673.75,663.51,669.8,704.52365121
2017-09-07 15:30:00,669.02,671.99,666.65,671.8,494.92264757
2017-09-07 16:00:00,671.0,674.9,668.49,670.8,603.46275535
2017-09-07 16:30:00,670.71,672.58,664.01,666.47,485.06465452
2017-09-07 17:00:00,664.94,664.99,661.23,663.36,334.83920447
2017-09-07 17:30:00,662.12,667.03,661.51,661.54,201.802989
2017-09-07 18:00:00,661.52,666.9,661.49,662.79,166.40328372
2017-09-07 18:30:00,665.02,665.02,653.22,657.36,793.87267582
2017-09-07 19:00:00,661.53,663.56,657.3,659.35,172.10742515
2017-09-07 19:30:00,659.36,659.36,653.0,656.47,479.85161821
2017-09-07 20:00:00,654.12,658.8,653.3,656.96,215.94215964
2017-09-07 20:30:00,656.86,657.98,654.3,656.0,285.05429733
2017-09-07 21:00:00,656.0,671.23,655.38,669.99,939.12337056
2017-09-07 21:30:00,669.99,677.64,669.02,675.85,710.69275286
2017-09-07 22:00:00,675.5,675.89,665.1,666.11,385.16452737
2017-09-07 22:30:00,666.11,672.39,660.22,667.5,242.81764867
2017-09-07 23:00:00,668.01,669.0,664.38,667.34,265.85651039
2017-09-07 23:30:00,668.34,668.35,664.5,666.91,123.7415646
2017-09-08 00:00:00,666.99,667.0,652.4,657.0,588.82289105
2017-09-08 00:30:00,659.39,659.99,656.81,658.71,85.00454949
2017-09-08 01:00:00,658.7,658.7,652.4,652.66,215.71587777
2017-09-08 01:30:00,652.65,660.16,650.1,660.16,507.3887964
2017-09-08 02:00:00,659.59,665.29,654.49,664.99,184.03921090000003
2017-09-08 02:30:00,664.96,678.72,661.98,673.06,654.34547517
